UID,TERM,NON_PLU_SCHOLARSHIP,GRADUATED
648282,201018,4272.0,No
648490,201018,7133.0,Yes
648521,201018,3954.0,Yes
648559,201018,3275.0,Yes
648703,201018,500.0,No
648717,201018,3476.0,Yes
648732,201018,7133.0,Yes
648770,201018,7133.0,Yes
648779,201018,6733.0,Yes
648793,201018,7308.0,Yes
648799,201124,3275.0,No
648820,201238,3934.0,Yes
648856,201018,2971.0,Yes
648973,201898,5398.0,Yes
649089,201018,4719.0,No
649151,201018,4704.0,Yes
649229,201018,5204.0,Yes
649299,201124,5507.0,Yes
649365,201018,4172.0,Yes
649366,201018,7133.0,No
649379,201234,3223.0,No
649437,201018,6344.0,Yes
649530,201018,7133.0,Yes
649566,201124,5838.0,Yes
649580,201018,2376.0,Yes
649617,201018,2964.0,Yes
649621,201018,3572.0,Yes
649659,201018,4628.0,Yes
649679,201018,6838.0,Yes
649688,201018,3872.0,Yes
649733,201018,4878.0,No
649805,201018,4296.0,Yes
649825,201018,6163.0,No
649862,201234,1400.0,Yes
649922,201018,4470.0,Yes
649980,201124,5423.0,Yes
649988,201018,2855.0,Yes
649989,201018,5701.0,Yes
649991,201018,7133.0,Yes
650150,201018,8733.0,Yes
650160,201018,4628.0,Yes
650255,201018,5022.0,Yes
650260,201018,500.0,Yes
650277,201018,6733.0,Yes
650313,201018,6813.0,Yes
650440,201018,5988.0,Yes
650459,201018,6213.0,Yes
650583,201124,6982.0,Yes
650612,201018,6713.0,Yes
650685,201344,2898.0,Yes
651039,201018,500.0,Yes
651061,201018,2250.0,Yes
651258,201124,6007.0,Yes
651291,201018,4072.0,No
651301,201018,3275.0,Yes
651378,201018,5148.0,Yes
651380,201018,7908.0,Yes
651531,201234,4158.0,Yes
651620,201238,694.0,Yes
651644,201234,5769.0,No
651656,201018,3572.0,Yes
651897,201018,6213.0,Yes
651938,201234,1200.0,Yes
651991,201234,5825.0,Yes
652058,201234,2300.0,Yes
652079,201234,4194.0,No
652119,201018,7094.0,Yes
652154,201124,6307.0,Yes
652156,201018,4121.0,Yes
652159,201018,4628.0,Yes
652220,201018,1950.0,Yes
652235,201018,525.0,Yes
652288,201018,6708.0,No
652297,201018,7108.0,Yes
652386,201018,2464.0,Yes
652397,201018,1250.0,Yes
652433,201018,3866.0,Yes
652444,201018,1750.0,Yes
652446,201018,6608.0,No
652540,201018,1004.0,No
652542,201018,7152.0,Yes
652596,201234,8102.0,No
652627,201018,1600.0,No
652628,201454,7472.0,Yes
652733,201018,7594.0,Yes
652757,201124,500.0,Yes
652848,201454,1640.0,Yes
652932,201128,4109.0,Yes
652947,201018,4871.0,Yes
652953,201018,4592.0,Yes
653154,202234,5370.0,No
653179,201124,6628.0,No
653251,201018,6213.0,Yes
653317,201124,1000.0,Yes
653324,201018,3275.0,Yes
653356,201018,277.0,Yes
653422,201124,6479.0,Yes
652552,201018,7958.0,Yes
653629,201018,6833.0,Yes
653770,201018,6733.0,Yes
653904,201018,5892.0,Yes
653945,201018,3350.0,Yes
653966,201018,6658.0,Yes
653972,201018,1250.0,Yes
654014,201018,6213.0,Yes
